building,code,description,title,days,credits,time,instructor,school,collegeId,department
1227 A&AB,ARCH10009,no description available,Basic Drawing,M-W----,4,830-1130AM,Harris,,2,
B100 MLB,ARCH10010,no description available,Graphic Commun,-T-TH---,4,9-12PM,Gilpin,,2,
2108 A&AB,ARCH23808,no description available,Special Topics Arch,----F--,3,1-4PM,"Haar, Vliet",,2,
ARR,ARCH10031,no description available,Digital Drawing,-T-----,3,130-230PM,,,2,
ARR,ARCH23435,no description available,Digital Drawing,-T-----,3,230-430PM,,,2,
ARR,ARCH24967,no description available,Digital Drawing,---TH---,3,130-230PM,,,2,
ARR,ARCH24968,no description available,Digital Drawing,---TH---,3,230-430PM,,,2,
AUD D AH,ARCH20855,no description available,Understand Arch,M-W----,3,9-10AM,,,2,
1006 DANA,ARCH20864,no description available,Understand Arch,---TH---,3,9-10AM,,,2,
1006 DANA,ARCH20865,no description available,Understand Arch,----F--,3,10-11AM,,,2,
2024 DANA,ARCH20866,no description available,Understand Arch,---TH---,3,10-11AM,,,2,
B100 MLB,ARCH21396,no description available,Visual Studies,-T-TH---,5,1-4PM,,,2,
3100 A&AB,ARCH10011,no description available,Arch Design I,M-W-F--,6,1-5PM,Harris,,2,
3100 A&AB,ARCH28810,no description available,Arch Design I,M-W-F--,6,1-5PM,,,2,
2104 A&AB,ARCH10015,no description available,History Arch I,M-W----,3,11-12PM,Rovang,,2,
2210 A&AB,ARCH17383,no description available,History Arch I,----F--,3,10-11AM,,,2,
2213 A&AB,ARCH10016,no description available,History Arch I,----F--,3,10-11AM,,,2,
2210 A&AB,ARCH10017,no description available,History Arch I,----F--,3,11-12PM,,,2,
2213 A&AB,ARCH10018,no description available,History Arch I,----F--,3,11-12PM,,,2,
2104 A&AB,ARCH10019,no description available,Structures I,M---F--,3,9-10AM,von Buelow,,2,
ARR,ARCH10020,no description available,Structures I,--W----,3,9-10AM,,,2,
1227 A&AB,ARCH10025,no description available,Design Fund I,-T-TH---,3,9-10AM,Mitnick,,2,
2213 A&AB,ARCH10025,no description available,Design Fund I,---TH---,3,10-11AM,,,2,
ARR,ARCH10026,no description available,Design Fund I,-T-TH---,3,9-10AM,Roddier,,2,
ARR,ARCH10026,no description available,Design Fund I,---TH---,3,10-11AM,,,2,
2104 A&AB,ARCH10027,no description available,Construction,---TH---,3,1-3PM,Rule,,2,
3100 A&AB,ARCH10027,no description available,Construction,---TH---,3,3-6PM,,,2,
ARR,ARCH10028,no description available,Construction,---TH---,3,1-3PM,,,2,
3100 A&AB,ARCH10028,no description available,Construction,---TH---,3,3-6PM,,,2,
ARR,ARCH26554,no description available,Construction,---TH---,3,1-3PM,,,2,
3100 A&AB,ARCH26554,no description available,Construction,---TH---,3,3-6PM,,,2,
1210 CHEM,ARCH28379,no description available,"Arch, Sustainability",-T-TH---,3,9-10AM,Kelbaugh,,2,
806 BMT,ARCH28380,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
B103 MLB,ARCH28381,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
B109 MLB,ARCH28382,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
3816 SSWB,ARCH28383,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
B760 SSWB,ARCH28384,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
2229 SEB,ARCH28385,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
1046 DANA,ARCH28386,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
2024 DANA,ARCH28387,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
2310 SEB,ARCH28388,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
ARR,ARCH10030,no description available,Tutorl Stds in Arch,-------,1.00-3.00,ARR,,,2,
ARR,ARCH24970,no description available,Special Topics Arch,-T-----,3,9-12PM,Ahlquist,,2,
2108 A&AB,ARCH24971,no description available,Special Topics Arch,-T-TH---,3,1-230PM,Meier,,2,
270 TAP,ARCH28075,no description available,Special Topics Arch,M-W----,3,10-1130AM,Leon,,2,
3100 A&AB,ARCH16071,no description available,Arch Design I,M-W-F--,6,1-5PM,Fure,,2,
3100 A&AB,ARCH22636,no description available,Arch Design I,M-W-F--,6,1-5PM,Herrmann,,2,
3100 A&AB,ARCH22637,no description available,Arch Design I,M-W-F--,6,1-5PM,,,2,
3100 A&AB,ARCH22883,no description available,Arch Design I,M-W-F--,6,1-5PM,,,2,
2108 A&AB,ARCH17058,no description available,History,-T-TH---,3,1030-12PM,Zimmerman,,2,
1227 A&AB,ARCH23349,no description available,Construction,---TH---,3,1-330PM,Mankouche,,2,
1227 A&AB,ARCH23349,no description available,Construction,---TH---,3,330-6PM,,,2,
ARR,ARCH23350,no description available,Construction,---TH---,3,1-330PM,Schmidt,,2,
2210 A&AB,ARCH23350,no description available,Construction,---TH---,3,330-6PM,,,2,
ARR,ARCH23351,no description available,Construction,---TH---,3,1-330PM,Wigger,,2,
2213 A&AB,ARCH23351,no description available,Construction,---TH---,3,330-6PM,,,2,
ARR,ARCH24972,no description available,Geometric Modeling,M------,3,9-12PM,Meier,,2,
1040 DANA,ARCH10032,no description available,Int U P&Env,-T-TH---,3,10-11AM,D'Anieri,,2,
1006 DANA,ARCH10033,no description available,Int U P&Env,---TH---,3,12-1PM,,,2,
1006 DANA,ARCH10034,no description available,Int U P&Env,----F--,3,11-12PM,,,2,
2024 DANA,ARCH10035,no description available,Int U P&Env,---TH---,3,12-1PM,,,2,
3100 A&AB,ARCH10036,no description available,Arch Des III,M-W-F--,6,1-5PM,Roddier,,2,
2227 A&AB,ARCH20487,no description available,Dimensions,-T-----,1,7-9PM,Unverzagt,,2,
2213 A&AB,ARCH22639,no description available,Spec Topics Env Tech,--W----,3,230-530PM,Kim,,2,
2222 A&AB,ARCH26558,no description available,Spec Topics Env Tech,M------,3,1-4PM,Junghans,,2,
2210 A&AB,ARCH19282,no description available,Spec Topics Des Fund,M------,3,1230-4PM,Strickland,,2,
2227 A&AB,ARCH20550,no description available,Spec Topics Des Fund,M------,3,1-4PM,Groat,,2,
2222 A&AB,ARCH32269,no description available,Spec Topics Des Fund,----F--,3,9-12PM,Clutter,,2,
2213 A&AB,ARCH20562,no description available,Spec Topics Des Fund,--W----,3,9-12PM,Curry,,2,
ARR,ARCH18462,no description available,Experimental Course,-T-----,3,9-12PM,Ahlquist,,2,
2227 A&AB,ARCH21335,no description available,Experimental Course,-T-----,3,9-12PM,Wilkins,,2,
2213 A&AB,ARCH21337,no description available,Experimental Course,M------,3,9-12PM,Sirota,,2,
2222 A&AB,ARCH21338,no description available,Experimental Course,--W----,3,1-4PM,Morcillo Pallares,,2,
ARR,ARCH24974,no description available,Experimental Course,M------,3,9-12PM,Vance,,2,
G463 MH,ARCH21339,no description available,Experimental Course,---TH---,3,7-10PM,Chaffers,,2,
ARR,ARCH28543,no description available,Experimental Course,----F--,3,9-12PM,Manninger,,2,
2210 A&AB,ARCH28545,no description available,Experimental Course,M------,3,6-9PM,Lewis,,2,
2210 A&AB,ARCH32411,no description available,Frame Structures,-T-TH---,3,1030-12PM,von Buelow,,2,
2104 A&AB,ARCH26583,no description available,Sustainable Systems,---TH---,3,10-12PM,"Maigret, Miller",,2,
ARR,ARCH26584,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
ARR,ARCH26585,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
2213 A&AB,ARCH26586,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
2222 A&AB,ARCH26587,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
ARR,ARCH26588,no description available,Sustainable Systems,---TH---,3,2-3PM,"Maigret, Miller",,2,
ARR,ARCH26589,no description available,Sustainable Systems,---TH---,3,2-3PM,"Maigret, Miller",,2,
2213 A&AB,ARCH29067,no description available,Sustainable Systems,---TH---,3,2-3PM,"Maigret, Miller",,2,
2104 A&AB,ARCH17025,no description available,Arch Representation,--W----,3,5-6PM,Kulper,,2,
ARR,ARCH17026,no description available,Arch Representation,--W----,3,230-5PM,Kulper,,2,
2108 A&AB,ARCH20375,no description available,Hist Urban Form,M-W----,3,9-1030AM,Rovang,,2,
2104 A&AB,ARCH28549,no description available,Integrative Systems,-T-----,3,9-12PM,"Kennedy, Junghans",,2,
2213 A&AB,ARCH32412,no description available,Reinfor Concr Struc,M-W----,3,1-230PM,Giles,,2,
1227 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,"Brugmann, Peller",,2,
2108 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,,,2,
2222 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,,,2,
2227 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,,,2,
2210 A&AB,ARCH32406,no description available,20th Century Arch,--W----,3,2-5PM,Herscher,,2,
2213 A&AB,ARCH32419,no description available,Spatial Data Form,-T-----,3,9-12PM,McCullough,,2,
3100 A&AB,ARCH10040,no description available,Arch Design V,-T--F--,6,1-6PM,McMorrough,,2,
3100 A&AB,ARCH20671,no description available,Arch Design V,-T--F--,6,1-6PM,Unverzagt,,2,
3100 A&AB,ARCH21334,no description available,Arch Design V,-T--F--,6,1-6PM,Wilkins,,2,
3100 A&AB,ARCH22922,no description available,Arch Design V,-T--F--,6,1-6PM,Robinson,,2,
3100 A&AB,ARCH23588,no description available,Arch Design V,-T--F--,6,1-6PM,Jefferson,,2,
3100 A&AB,ARCH23589,no description available,Arch Design V,-T--F--,6,1-6PM,,,2,
2204 A&AB,ARCH23637,no description available,Bld Sy&Ener Consvtn,---TH---,3,9-12PM,Navvab,,2,
1227 A&AB,ARCH28997,no description available,Adv Digital Fab,----F--,3,9-12PM,,,2,
2213 A&AB,ARCH10046,no description available,Building Ecology,M------,3,230-530PM,Kim,,2,
2104 A&AB,ARCH22091,no description available,Professnl Pract,M------,3,1-4PM,,,2,
ARR,ARCH24975,no description available,Design Computing,M------,3,9-12PM,Herrmann,,2,
ARR,ARCH10047,no description available,Tutrl Std Arch Hist,-------,1.00-3.00,ARR,,,2,
ARR,ARCH10048,no description available,Tutor Studies Arch,-------,1.00-3.00,ARR,,,2,
2227 A&AB,ARCH31485,no description available,Sem Arch History,---TH---,3,1-4PM,Zimmerman,,2,
ARR,ARCH32448,no description available,Sem Arch History,-T-----,3,9-12PM,McMorrough,,2,
2227 A&AB,ARCH32449,no description available,Sem Arch History,--W----,3,9-12PM,Herscher,,2,
2204 A&AB,ARCH23636,no description available,Env Des Simulation,-T-----,3,9-12PM,Navvab,,2,
3401 MH,ARCH22305,no description available,Disability Studies,-T-----,1.00-3.00,1-3PM,Kuppers,,2,
ARR,ARCH10049,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,Abrons,,2,
2108 A&AB,ARCH21783,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,McMorrough,,2,
2210 A&AB,ARCH22079,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,McMorrough,,2,
2213 A&AB,ARCH22080,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,Thun,,2,
2204 A&AB,ARCH22081,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,Kulper,,2,
ARR,ARCH22452,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,,,2,
2227 A&AB,ARCH28807,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,Ng,,2,
ARR,ARCH28808,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,,,2,
ARR,ARCH28809,no description available,Thesis Res&Dev Sem,---TH---,3,6-9PM,,,2,
3100 A&AB,ARCH10050,no description available,Arch Design VII,-T--F--,6,1-6PM,"Borum, Wigger",,2,
3100 A&AB,ARCH20672,no description available,Arch Design VII,-T--F--,6,1-6PM,"Vance, Dowdell",,2,
3100 A&AB,ARCH20673,no description available,Arch Design VII,-T--F--,6,1-6PM,"Graebner, Hansen",,2,
ARR,ARCH17778,no description available,Arc Curr Pract Exper,-------,1,ARR,,,2,
2108 A&AB,ARCH26551,no description available,Theories in Dig Tech,--W----,3,1-4PM,Velikov,,2,
2222 A&AB,ARCH22608,no description available,Material Engagemt DT,-T-TH---,3,1030-12PM,,,2,
2222 A&AB,ARCH22607,no description available,Virtual Engagemt DT,-T-TH---,3,9-1030AM,,,2,
2108 A&AB,ARCH26552,no description available,Theories Matrl Systm,--W----,3,1-4PM,Velikov,,2,
2222 A&AB,ARCH32410,no description available,Physical Pursuits MS,M------,3,4-7PM,Velikov,,2,
2204 A&AB,ARCH26553,no description available,Technolog Process MS,----F--,3,9-12PM,Ahlquist,,2,
ARR,ARCH10055,no description available,Tutorial Studies,-------,1.00-3.00,ARR,,,2,
ARR,ARCH10056,no description available,MS Supervised Resear,-------,1.00-3.00,ARR,,,2,
ARR,ARCH23647,no description available,Hlth Civ Infrastruct,M------,3,9-12PM,Vance,,2,
2210 A&AB,ARCH24976,no description available,Collo Ethics Doc Res,----F--,1,3-5PM,,,2,
ARR,ARCH10057,no description available,Tutorial Studies,-------,1.00-6.00,ARR,,,2,
2227 A&AB,ARCH22873,no description available,Res&Meth Arch,-T-----,3,1-4PM,Knoblauch,,2,
ARR,ARCH10058,no description available,Supervised Research,-------,1.00-6.00,ARR,,,2,
1505 CCL,ARCH28960,no description available,Sem Design Studies,----F--,3,9-12PM,,,2,
ARR,ARCH10059,no description available,Research Practicum,-------,1.00-4.00,ARR,,,2,
ARR,ARCH16794,no description available,Diss-Precand,-------,1.00-8.00,ARR,,,2,
ARR,ARCH10060,no description available,Teach Meth Gsi,-------,1,ARR,"Haar, Grengs",,2,
ARR,ARCH10061,no description available,Diss-Cand,-------,8,ARR,,,2,
2108 A&AB,UD20376,no description available,Hist of Urban Form,M-W----,3,9-1030AM,Rovang,,2,
2204 A&AB,UD23762,no description available,Intg Proj Dev Sem I,M------,1.5,1-230PM,McCullough,,2,
3100 A&AB,UD18728,no description available,Urban Des Studio II,-T--F--,6,1-6PM,Rois,,2,
ARR,UP22699,no description available,Directed Study,-------,1.00-4.00,ARR,,,2,
1210 CHEM,URP28400,no description available,"Arch, Sustainability",-T-TH---,3,9-10AM,Kelbaugh,,2,
806 BMT,URP28401,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
B103 MLB,URP28402,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
B109 MLB,URP28403,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
3816 SSWB,URP28404,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
B760 SSWB,URP28405,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
2229 SEB,URP28406,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
1046 DANA,URP28407,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
2024 DANA,URP28408,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
2310 SEB,URP28409,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
1040 DANA,URP10062,no description available,Int U P&Env,-T-TH---,3,10-11AM,D'Anieri,,2,
1006 DANA,URP10063,no description available,Int U P&Env,---TH---,3,12-1PM,,,2,
1006 DANA,URP10064,no description available,Int U P&Env,----F--,3,11-12PM,,,2,
2024 DANA,URP10065,no description available,Int U P&Env,---TH---,3,12-1PM,,,2,
1024 DANA,URP26241,no description available,Sustainable Food Sys,-T-TH---,3,1-230PM,"Blesh, Jones, Hoey",,2,
2210 A&AB,URP28350,no description available,Plng Thry Policy,-T-TH---,3,9-1030AM,"Campbell, Steiff",,2,
2108 A&AB,URP28351,no description available,Plng Thry Policy,-T-TH---,3,9-1030AM,"Thomas, Steiff",,2,
ARR,URP31832,no description available,Plng Thry Design,-T-TH---,3,9-1030AM,"Kinder, Steiff",,2,
1227 A&AB,URP10066,no description available,Intro to Stats UP,-T-TH---,2,1030-12PM,,,2,
2108 A&AB,URP32278,no description available,Spat Thnkg & Env Sys,-T-----,3,6-9PM,Larsen,,2,
1227 A&AB,URP10067,no description available,Public Economics,M-W----,2.00-3.00,4-530PM,Levine,,2,
1227 A&AB,URP23380,no description available,Fiscal Planning&Mgt,M-W----,2.00-3.00,230-4PM,Deng,,2,
2108 A&AB,URP23353,no description available,Intro to GIS,-T-TH---,3,4-5PM,,,2,
ARR,URP23358,no description available,Intro to GIS,----F--,3,830-11AM,,,2,
ARR,URP23360,no description available,Intro to GIS,----F--,3,1-330PM,,,2,
ARR,URP23362,no description available,Intro to GIS,---TH---,3,530-8PM,,,2,
1024 DANA,URP26242,no description available,Sustainable Food Sys,-T-TH---,3,1-230PM,"Blesh, Jones, Hoey",,2,
2108 A&AB,URP20379,no description available,Hist Urban Form,M-W----,3,9-1030AM,Rovang,,2,
1110 WEILL,URP31536,no description available,Thinking About Crime,-T-TH---,3,1-230PM,Thacher,,2,
2210 A&AB,URP31848,no description available,Intro to Urbn Inform,-T-TH---,3,1-230PM,Goodspeed,,2,
1040 DANA,URP25953,no description available,Behavior&Environmt,M-W----,3,1-230PM,De Young,,2,
3556 DANA,URP26010,no description available,Behavior&Environmt,----F--,3,9-10AM,,,2,
1006 DANA,URP26012,no description available,Behavior&Environmt,----F--,3,12-1PM,,,2,
3100 A&AB,URP20871,no description available,Phys Plan Workshop,-T-TH---,3,9-1030AM,Fontaine,,2,
2222 A&AB,URP32461,no description available,Healthy Cities,-T-TH---,3,230-4PM,Kinder,,2,
2108 A&AB,URP16524,no description available,Transport & PubPol,M-W----,3,1030-12PM,Grengs,,2,
2222 A&AB,URP31850,no description available,Comp Urban Policy,---TH---,3,6-9PM,Murray,,2,
2210 A&AB,URP28349,no description available,Hsg Policy&Econ,M-W----,3,1030-12PM,Deng,,2,
2222 A&AB,URP23381,no description available,Neighborhood Plan,M-W----,3,9-1030AM,Etienne,,2,
2108 A&AB,URP28354,no description available,"Race,Diff&Social Jus",M------,3,6-9PM,Etienne,,2,
2222 A&AB,URP21778,no description available,Econ Dev Plng Methds,-T-TH---,3,4-530PM,Campbell,,2,
B760 SSWB,URP19797,no description available,Conc&Tech Comm,----F--,3,9-12PM,Gant,,2,
R0230 BUS,URP10068,no description available,Real Est Ess,M------,3,7-10PM,Allen,,2,
ARR,URP10069,no description available,Expanded Horizons,-------,1,ARR,,,2,
ARR,URP16477,no description available,Thesis,-------,3.00-6.00,ARR,,,2,
ARR,URP20136,no description available,Prof Project,-------,3.00-6.00,ARR,,,2,
2204 A&AB,URP17093,no description available,Integrat Field Exp,-T-TH---,6,230-530PM,"Thomas, Dueweke",,2,
ARR,URP23383,no description available,URP Grad Exper Cse,-T-----,3,3-4PM,"Bagenstos, Lacy",,2,
ARR,URP23383,no description available,URP Grad Exper Cse,-T-----,3,410-610PM,,,2,
ARR,URP26837,no description available,URP Grad Exper Cse,-------,1,ARR,Thomas,,2,
ARR,URP17540,no description available,URP Directed Study,-------,1.00-4.00,ARR,,,2,
ARR,URP23089,no description available,URP Directed Study,-------,1.00-4.00,ARR,,,2,
2204 A&AB,URP31836,no description available,Research Design,--W----,3,9-12PM,Levine,,2,
ARR,URP10070,no description available,PhD Diss-Precand,-------,1.00-8.00,ARR,,,2,
ARR,URP10071,no description available,Teach Meth Gsi,-------,1,ARR,"Haar, Grengs",,2,
ARR,URP10072,no description available,PhD Diss-Cand,-------,8,ARR,,,2,
ARR,DENTHYG10155,no description available,Clinical Dent Hyg,M------,4,1-5PM,"McComas, Ash, Mackinnon, Jones, Velez, Duff, Kline, Branam",,2,
G550 DENT,DENTHYG10155,no description available,Clinical Dent Hyg,---TH---,4,10-12PM,,,2,
G550 DENT,DENTHYG10155,no description available,Clinical Dent Hyg,---TH---,4,8-9AM,,,2,
G360 DENT,DENTHYG10155,no description available,Clinical Dent Hyg,---TH---,4,8-10AM,,,2,
G550 DENT,DENTHYG10155,no description available,Clinical Dent Hyg,----F--,4,9-10AM,,,2,
ARR,DENTHYG10155,no description available,Clinical Dent Hyg,----F--,4,1-5PM,,,2,
G550 DENT,DENTHYG10156,no description available,Survey Dental Hyg,M------,1,9-10AM,Kinney,,2,
G550 DENT,DENTHYG16049,no description available,Oral Anatomy,-T-----,2,2-4PM,Eagle,,2,
G340 DENT,DENTHYG16049,no description available,Oral Anatomy,-T-----,2,4-5PM,,,2,
G580 DENT,DENTHYG16049,no description available,Oral Anatomy,--W----,2,2-3PM,,,2,
ARR,DENTHYG10157,no description available,Behavioral Sci I,--W----,2,8-10AM,Inglehart,,2,
G550 DENT,DENTHYG32035,no description available,Anatomy & Physiology,-TW-F--,5,10-12PM,,,2,
G550 DENT,DENTHYG10158,no description available,Dental Pract Emerg,-T-----,2,8-10AM,Marti,,2,
G550 DENT,DENTHYG10159,no description available,Oral Histol & Embry,-TW----,2,1-2PM,Chiego Jr,,2,
ARR,DENTHYG10160,no description available,Radiograph Interpr,-T-----,1,1-2PM,Benavides,,2,
G550 DENT,DENTHYG10161,no description available,Clinical Dent Hyg,----F--,3,1-2PM,,,2,
G580 DENT,DENTHYG10161,no description available,Clinical Dent Hyg,---TH---,3,8-9AM,,,2,
G390 DENT,DENTHYG10161,no description available,Clinical Dent Hyg,---TH---,3,1-2PM,,,2,
G580 DENT,DENTHYG10162,no description available,Community Dentistry,-T--F--,2,8-9AM,Jones,,2,
G580 DENT,DENTHYG10163,no description available,Nutrition,-T-----,3,9-11AM,VanDuine,,2,
G550 DENT,DENTHYG10164,no description available,Clinical Dent Hyg,M------,4,1-2PM,"Furgeson, Ash, Eagle, Gissendanner, Giuliani, Jones, Korte, Riaz, VanDuine, Pritzel, Velez, Arnett, Cullen, Duff, Mackinnon",,2,
G580 DENT,DENTHYG10164,no description available,Clinical Dent Hyg,---TH---,4,1-2PM,,,2,
ARR,DENTHYG26275,no description available,Intraprof Education,M------,1,8-9AM,"Fitzgerald, de Peralta",,2,
G550 DENT,DENTHYG17653,no description available,Pain Control,M-W----,2,8-9AM,McComas,,2,
G580 DENT,DENTHYG10165,no description available,Periodontics III,-T-----,1,1-2PM,Duff,,2,
G550 DENT,DENTHYG10165,no description available,Periodontics III,M------,1,11-12PM,,,2,
G580 DENT,DENTHYG17652,no description available,Dental Pharmacology,M-W----,2,1-2PM,Ko,,2,
ARR,DENTHYG10166,no description available,Dent Hyg Field Exp,-------,2,ARR,,,2,
ARR,DENTHYG10167,no description available,Comm Prac:Hd Start,M------,1,10-12PM,,,2,
ARR,DENTHYG10168,no description available,Research II,-------,2.00-4.00,ARR,,,2,
G580 DENT,DENTHYG10169,no description available,Scientific Writing,M------,2,9-11AM,,,2,
G005 DENT,DENTHYG10170,no description available,Practicum,--W----,2,4-7PM,,,2,
G311 DENT,DENTHYG10170,no description available,Practicum,--W----,2,4-7PM,,,2,
G550 DENT,DENTHYG10170,no description available,Practicum,--W----,2,4-7PM,,,2,
G378 DENT,DENTHYG10170,no description available,Practicum,--W----,2,4-7PM,,,2,
G536 DENT,DENTHYG10170,no description available,Practicum,--W----,2,4-7PM,,,2,
G524 DENT,DENTHYG10170,no description available,Practicum,--W----,2,4-7PM,,,2,
ARR,DENTHYG10171,no description available,Select Teach Exper,M------,1.00-3.00,12-1PM,Eagle,,2,
ARR,DENTHYG10171,no description available,Select Teach Exper,-T-----,1.00-3.00,2-4PM,,,2,
ARR,DENTHYG18589,no description available,Mentored Prof Exp,-------,3.00-4.00,ARR,,,2,
ARR,DENTHYG20849,no description available,Mentored Prof Exp,-------,3.00-4.00,ARR,,,2,
G580 DENT,DENTHYG10172,no description available,Independent Study,M------,1.00-4.00,8-9AM,,,2,
ARR,HYGDCE19859,no description available,Leadrship&Prof Dev,-------,3,ARR,Gwozdek,,2,
ARR,HYGDCE19861,no description available,Oral Diseases:  P&M,-------,3,ARR,Korte,,2,
ARR,HYGDCE20360,no description available,Community II,-------,3,ARR,Cullen,,2,
ARR,HYGDCE20361,no description available,Dent Hyg Education,-------,3,ARR,VanDuine,,2,
ARR,BIOMATLS10149,no description available,Sp Lab Proj-Biomatr,-------,1.00-4.00,ARR,,,2,
ARR,BIOMATLS23817,no description available,Mech of Ortho Matrl,-------,1,ARR,Haerian,,2,
ARR,BIOMATLS10150,no description available,Investigatn-Thesis,-------,1.00-6.00,ARR,,,2,
ARR,BIOMATLS10151,no description available,Diss-Precand,-------,1.00-8.00,ARR,,,2,
ARR,BIOMATLS10152,no description available,Diss-Cand,-------,8,ARR,,,2,
ARR,DENT21332,no description available,Evidenced-Based Dent,---TH---,1,3-5PM,"Fitzgerald, Mac Eachern",,2,
ARR,DENT21328,no description available,Grand Rounds,---TH---,0.00-3.00,8-10AM,Holland,,2,
G360 DENT,DENT22106,no description available,Dental Anatomy & Occlusion,----F--,1.00-3.00,2-5PM,,,2,
G360 DENT,DENT21394,no description available,Comp Care Clinic,-T-----,1.00-10.00,9-12PM,"Fitzgerald, Piskorowski",,2,
G378 DENT,DENT21394,no description available,Comp Care Clinic,-T-----,1.00-10.00,8-9AM,,,2,
G360 DENT,DENT21394,no description available,Comp Care Clinic,---TH---,1.00-10.00,2-5PM,,,2,
G378 DENT,DENT21331,no description available,Pathways Program,M------,0.00-5.00,2-5PM,,,2,
G378 DENT,DENT21330,no description available,Cariology I,----F--,0.00-10.00,8-11AM,"Fontana, Gonzalez",,2,
G378 DENT,DENT21330,no description available,Cariology I,----F--,0.00-10.00,8-10AM,,,2,
G005 DENT,DENT21329,no description available,Infection & Immun,M-W-F--,3,11-12PM,"Sweier, Alteri, Eber, Fuller, Aslam, Nabeshima, Gharaee-Kermani, Lukacs, Geng",,2,
ARR,DENT22850,no description available,"Dev, Regen&Genetics",---TH---,0.00-10.00,8-10AM,"Hu, Kaartinen",,2,
ARR,DENT22850,no description available,"Dev, Regen&Genetics",M------,0.00-10.00,1-2PM,,,2,
ARR,DENT18582,no description available,DSR II:Research Pres,-------,4,ARR,,,2,
G322 DENT,DENT22099,no description available,Periodontology II,---TH---,1,1-2PM,"Richards, Fenno",,2,
G322 DENT,DENT22099,no description available,Periodontology II,--W----,1,8-9AM,,,2,
ARR,DENT29442,no description available,Prin of Restorative Dent,-------,0.00-10.00,ARR,,,2,
ARR,DENT22096,no description available,Grand Rounds - D2,---TH---,0.00-3.00,8-10AM,"Murdoch-Kinch, Holland",,2,
G322 DENT,DENT22103,no description available,Principles of Endodontics I,--W----,1,12-1PM,"Botero, Holland, Healy, Rios, Chiego Jr",,2,
G005 DENT,DENT22098,no description available,Diag Sciences II,-T-----,1,1-2PM,"Benavides, Brooks",,2,
ARR,DENT30510,no description available,varies by topic,-------,0.00-5.00,ARR,"Hamerink, de Peralta",,2,
G322 DENT,DENT30512,no description available,varies by topic,-T-----,0.00-5.00,8-12PM,"Hamerink, Hamerink",,2,
ARR,DENT30513,no description available,varies by topic,-T-----,0.00-5.00,8-12PM,"Hamerink, Hamerink",,2,
ARR,DENT30514,no description available,varies by topic,----F--,0.00-5.00,1-1AM,"Sweier, Pinsky",,2,
G311 DENT,DENT30515,no description available,varies by topic,---TH---,0.00-5.00,2-4PM,"Sweier, Pinsky, Shannon, Mac Eachern",,2,
G390 DENT,DENT30516,no description available,varies by topic,-T-----,0.00-5.00,10-12PM,Karl,,2,
ARR,DENT22094,no description available,Pathways - HC Delivery,-T-----,0.00-3.00,8-12PM,"Hamerink, Hamerink",,2,
ARR,DENT22107,no description available,Pathways - Research,-T-----,0.00-5.00,8-12PM,Chiego Jr,,2,
ARR,DENT22108,no description available,Pathways - Leadership,-T-----,0.00-3.00,8-12PM,"Sweier, Pinsky",,2,
